customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
c7432c6d237ffd6aa36a007b4237ec38,9a897ea48bf988012c00b802f1104a92,2971,sao paulo,SP
7f399d641e2e2064470145178c9e8778,90436a67885a57f147fb79e6d0e4bc1c,38610,unai,MG
ba5642b730704dc0f74b7cf715b41ed5,4d8056f71519ae1069e6747c63c676f7,88820,icara,SC
0f346a2cc84ebb2d52f0759d0acfd030,6117c9ef3251089693a6abb90c195eba,25250,duque de caxias,RJ
d393b9491df482cf448e60aa9955b7f2,5caf3a2a5d1ef808e3dd182e79baa392,36955,mutum,MG
d9b4a26e122e830decf445a401ff0506,99062accc4c9bbd3a766f5af8beea25a,79005,campo grande,MS
3d7ded9f88ad6b06bc3f16ef0987fc54,c7d1c1a9792b4c5b53f6e88807ec88f6,13202,jundiai,SP
beabad0a90f659fbd73b571183bab1ec,c9e70f489d81d99aa85136bae90b4427,9971,diadema,SP
c0a599a259226219c1ea0d3b8821ca54,2e1b1231ac9b6f371971b8ec7b9d0fcd,4215,sao paulo,SP
6a8f01843537891ff93700664ca11c7b,39d26db6530f0ad21b671a973cb6e03f,68741,castanhal,PA
84bbde28c3ea5a89111357183bd40edc,30b782a79466007756f170cb5bd6bbd8,5872,sao paulo,SP
f25f80e2caa76bc88369d6deb846f7e9,34466539a4aa603004fead7a3f7f7bc2,23020,rio de janeiro,RJ
df370448e03b2b90e437d02b2c6a19f5,bf8b1b6b7a19dc79caa3d1a02a2e00ee,9380,maua,SP
8e802aa92e088465b6a3cbb2a5188d5f,b500796aff2ccdca14cd3659f5ec4977,4455,sao paulo,SP
50aaed44e9c8129beddba50bf99c232a,9bc26fe6fd9365ef95a2f6a3a20a0b87,13272,valinhos,SP
e91d82bbb0f6fd7e6e30511456357ce1,6bb535b0906b43e0041916897667aeed,88495,garopaba,SC
93bcaca0ba9906b15984025eb1ff7d06,ad37b0e34b70d1ed6fe35e602e2e4d51,63740,novo oriente,CE
715afa7e9686768e6db93aeca9998020,1f9e0baeb7855a52bc3106527c4f9276,50900,recife,PE
6311a3c1ac4f50b4d94af47a6cd0e20e,bf49396ee81dcff7bb75995c61faa035,74845,goiania,GO
36efd32104e8b48038e2f4dee07c3935,813eee947cafda0ed444814b805325f1,31260,belo horizonte,MG
3ac65bf8cf7bea336ad70d583da199cc,70c7bc295f2ffdd9125c96d2ace32fb4,35700,sete lagoas,MG
0e7130b31eb9304b496e9f4bb8223ee3,4c9097671506eb668546b2c1aaea3c83,91260,porto alegre,RS
